"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4281","Test for Interactions: resize box and check size after the action","chromium","Fri Mar 13 22:54:41 UTC 2026","passed","Fri Mar 13 22:54:46 UTC 2026","Interaction Suite @interactions","interactions-resizable.spec.ts","",""
"","3596","Test for Browser Windows: check new tab","chromium","Fri Mar 13 22:54:37 UTC 2026","passed","Fri Mar 13 22:54:41 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","4725","Test for Check Box: check main box and verify that all sub boxes are checked","chromium","Fri Mar 13 22:54:41 UTC 2026","passed","Fri Mar 13 22:54:45 UTC 2026","Elements Box Suite @elements","elements-check-box.spec.ts","",""
"","3340","Test for Alerts: check see alert - check that alert with text is displayed after clicking","chromium","Fri Mar 13 22:54:37 UTC 2026","passed","Fri Mar 13 22:54:40 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","4582","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","chromium","Fri Mar 13 22:54:41 UTC 2026","passed","Fri Mar 13 22:54:46 UTC 2026","Widgets Suite @widgets","widgets-autocomplete.spec.ts","",""
"","4071","Test for Browser Windows: check new window","chromium","Fri Mar 13 22:54:37 UTC 2026","passed","Fri Mar 13 22:54:41 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","4040","Test for Browser Windows: check new window message","chromium","Fri Mar 13 22:54:37 UTC 2026","passed","Fri Mar 13 22:54:41 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","3064","Test for Slider: set value - move the slider with arrows and check set value","chromium","Fri Mar 13 22:54:45 UTC 2026","passed","Fri Mar 13 22:54:49 UTC 2026","Widgets Suite @widgets","widgets-slider.spec.ts","",""
"","4755","Test for Edit fields: enter data, confirm and check result","chromium","Fri Mar 13 22:54:41 UTC 2026","passed","Fri Mar 13 22:54:46 UTC 2026","Elements Box Suite @elements","elements-text-box.spec.ts","",""
