"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5580","Test for Browser Windows: check new tab","chromium","Tue Mar 17 22:21:39 UTC 2026","passed","Tue Mar 17 22:21:44 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","199","Should show error message when API returns 500","chromium","Tue Mar 17 22:21:45 UTC 2026","passed","Tue Mar 17 22:21:45 UTC 2026","Network Mocking Suite @network-mocking","network-mocking.spec.ts","",""
"","3234","Test for Radio buttons: select, verify and check that not enabled","chromium","Tue Mar 17 22:21:43 UTC 2026","passed","Tue Mar 17 22:21:46 UTC 2026","Elements Radio Buttons Suite @elements","elements-radio-buttons.spec.ts","",""
"","4576","Test for Slider: set value - move the slider with arrows and check set value","chromium","Tue Mar 17 22:21:45 UTC 2026","passed","Tue Mar 17 22:21:50 UTC 2026","Widgets Suite @widgets","widgets-slider.spec.ts","",""
"","3919","Test for Edit fields: enter data, confirm and check result","chromium","Tue Mar 17 22:21:44 UTC 2026","passed","Tue Mar 17 22:21:48 UTC 2026","Elements Box Suite @elements","elements-text-box.spec.ts","",""
"","5824","Test for Browser Windows: check new window","chromium","Tue Mar 17 22:21:38 UTC 2026","passed","Tue Mar 17 22:21:44 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","224","Get user by id","chromium","Tue Mar 17 22:21:38 UTC 2026","passed","Tue Mar 17 22:21:39 UTC 2026","API tests suite @api","api-tests.spec.ts","",""
"","6313","Test for Check Box: check main box and verify that all sub boxes are checked","chromium","Tue Mar 17 22:21:39 UTC 2026","passed","Tue Mar 17 22:21:45 UTC 2026","Elements Box Suite @elements","elements-check-box.spec.ts","",""
"","3906","Test for Alerts: check see alert - check that alert with text is displayed after clicking","chromium","Tue Mar 17 22:21:38 UTC 2026","passed","Tue Mar 17 22:21:42 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","4023","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","chromium","Tue Mar 17 22:21:45 UTC 2026","passed","Tue Mar 17 22:21:49 UTC 2026","Widgets Suite @widgets","widgets-autocomplete.spec.ts","",""
"","232","Should mock device list with custom data","chromium","Tue Mar 17 22:21:45 UTC 2026","passed","Tue Mar 17 22:21:45 UTC 2026","Network Mocking Suite @network-mocking","network-mocking.spec.ts","",""
"","5401","Test for Browser Windows: check new window message","chromium","Tue Mar 17 22:21:38 UTC 2026","passed","Tue Mar 17 22:21:44 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","3938","Test for Interactions: resize box and check size after the action","chromium","Tue Mar 17 22:21:45 UTC 2026","passed","Tue Mar 17 22:21:49 UTC 2026","Interaction Suite @interactions","interactions-resizable.spec.ts","",""
