"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3450","Test for Browser Windows: check new window message","chromium","Sat Mar 14 23:29:36 UTC 2026","passed","Sat Mar 14 23:29:40 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","89","Should mock device list with custom data","chromium","Sat Mar 14 23:29:40 UTC 2026","passed","Sat Mar 14 23:29:40 UTC 2026","Network Mocking Suite @network-mocking","network-mocking.spec.ts","",""
"","3589","Test for Interactions: resize box and check size after the action","chromium","Sat Mar 14 23:29:40 UTC 2026","passed","Sat Mar 14 23:29:44 UTC 2026","Interaction Suite @interactions","interactions-resizable.spec.ts","",""
"","4121","Test for Edit fields: enter data, confirm and check result","chromium","Sat Mar 14 23:29:40 UTC 2026","passed","Sat Mar 14 23:29:44 UTC 2026","Elements Box Suite @elements","elements-text-box.spec.ts","",""
"","3921","Test for Check Box: check main box and verify that all sub boxes are checked","chromium","Sat Mar 14 23:29:39 UTC 2026","passed","Sat Mar 14 23:29:43 UTC 2026","Elements Box Suite @elements","elements-check-box.spec.ts","",""
"","91","Should show error message when API returns 500","chromium","Sat Mar 14 23:29:40 UTC 2026","passed","Sat Mar 14 23:29:40 UTC 2026","Network Mocking Suite @network-mocking","network-mocking.spec.ts","",""
"","3675","Test for Browser Windows: check new tab","chromium","Sat Mar 14 23:29:36 UTC 2026","passed","Sat Mar 14 23:29:40 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","2913","Test for Alerts: check see alert - check that alert with text is displayed after clicking","chromium","Sat Mar 14 23:29:36 UTC 2026","passed","Sat Mar 14 23:29:39 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","3834","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","chromium","Sat Mar 14 23:29:40 UTC 2026","passed","Sat Mar 14 23:29:44 UTC 2026","Widgets Suite @widgets","widgets-autocomplete.spec.ts","",""
"","2724","Test for Slider: set value - move the slider with arrows and check set value","chromium","Sat Mar 14 23:29:43 UTC 2026","passed","Sat Mar 14 23:29:46 UTC 2026","Widgets Suite @widgets","widgets-slider.spec.ts","",""
"","3508","Test for Browser Windows: check new window","chromium","Sat Mar 14 23:29:36 UTC 2026","passed","Sat Mar 14 23:29:40 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
