"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3764","Test for Interactions: resize box and check size after the action","chromium","Fri Mar 13 21:39:02 UTC 2026","passed","Fri Mar 13 21:39:06 UTC 2026","Interaction Suite @interactions","interactions-resizable.spec.ts","",""
"","3756","Test for Browser Windows: check new window message","chromium","Fri Mar 13 21:38:58 UTC 2026","passed","Fri Mar 13 21:39:02 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","3035","Test for Alerts: check see alert - check that alert with text is displayed after clicking","chromium","Fri Mar 13 21:38:58 UTC 2026","passed","Fri Mar 13 21:39:01 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","3635","Test for Browser Windows: check new tab","chromium","Fri Mar 13 21:38:58 UTC 2026","passed","Fri Mar 13 21:39:02 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","3756","Test for Browser Windows: check new window","chromium","Fri Mar 13 21:38:58 UTC 2026","passed","Fri Mar 13 21:39:02 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","3670","Test for Check Box: check main box and verify that all sub boxes are checked","chromium","Fri Mar 13 21:39:01 UTC 2026","passed","Fri Mar 13 21:39:05 UTC 2026","Elements Box Suite @elements","elements-check-box.spec.ts","",""
"","4196","Test for Edit fields: enter data, confirm and check result","chromium","Fri Mar 13 21:39:02 UTC 2026","passed","Fri Mar 13 21:39:06 UTC 2026","Elements Box Suite @elements","elements-text-box.spec.ts","",""
"","4552","Test for Modal Dialogs: check new window","chromium","Fri Mar 13 08:12:09 UTC 2026","passed","Fri Mar 13 08:12:14 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","4090","Test for Modal Dialogs: check new window message","chromium","Fri Mar 13 08:27:17 UTC 2026","passed","Fri Mar 13 08:27:21 UTC 2026","Alerts, Frame & Windows Suite @alerts","alerts-browser-windows.spec.ts","",""
"","4177","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","chromium","Fri Mar 13 21:39:02 UTC 2026","passed","Fri Mar 13 21:39:06 UTC 2026","Widgets Suite @widgets","widgets-autocomplete.spec.ts","",""
